1,00000400,Miley Houston,Kate Stewart,
2,00000400,Miley Houston,Kate Stewart,
3,00000400,Miley Houston,Kate Stewart,
4,00000400,Kate Stewart
5,00000400,April Hadfield,Miley Houston,Kate Stewart,
6,00000400,Kate Stewart,
7,00000400,Kate Stewart,
8,00000400,Kate Stewart,
9,00000400,Kate Stewart
10,00000400,David Michael,Roger Schlegel]Kate Stewart,
11,00000400,David Michael,Roger Schlegel,
12,00000400,Roger Schlegel,
13,00000600,Roger Schlegel,
14,00000600,Roger Schlegel,
15,00000600,Roger Schlegel
16,00000600,Roger Schlegel
17,00000500,Roger Schlegel,
18,00000500,Roger Schlegel,
19,00000600,Roger Schlegel,
